"","StartStationID","EndStationID","Gender","BirthDecade"
"229","3268","3211","1","60s"
"230","3211","3184","1","80s"
"231","3184","3186","1","80s"
"232","3186","3203","1","70s"
"233","3203","3186","1","70s"
"234","3186","3278","1","80s"
"235","3278","3275","1","80s"
"236","3275","3267","1","60s"
"237","3186","3205","1","80s"
"238","3205","3186","1","80s"
"239","3186","3272","1","60s"
"240","3272","3278","1","80s"
"241","3278","3203","2","90s"
"242","3186","3279","2","80s"
"243","3279","3272","1","70s"
"244","3272","3278","1","70s"
"245","3278","3186","1","80s"
"246","3225","3195","1","80s"
"247","3195","3207","2","70s"
"248","3207","3195","2","80s"
"249","3195","3194","1","70s"
"250","3194","3195","1","90s"
"251","3195","3193","1","60s"
"252","3193","3195","1","60s"
"253","3195","3193","2","70s"
"254","3193","3194","1","70s"
"255","3194","3206","2","80s"
"256","3206","3186","2","80s"
"257","3186","3225","2","80s"
"258","3225","3183","1","80s"
"259","3183","3215","1","80s"
"260","3215","3202","1","80s"
"261","3202","3203","1","70s"
"262","3203","3268","1","80s"
"263","3268","3192","2","70s"
"264","3192","3214","1","60s"
"265","3187","3186","1","90s"
"266","3202","3184","1","80s"
"267","3184","3214","1","80s"
"268","3186","3214","1","70s"
"269","3214","3185","1","80s"
"270","3203","3186","2","70s"
"271","3187","3202","1","70s"
"272","3202","3203","1","80s"
"273","3214","3183","1","80s"
"274","3183","3184","1","70s"
"275","3186","3273","1","80s"
"276","3273","3203","2","80s"
"277","3203","3186","1","70s"
"278","3186","3209","1","60s"
"279","3186","3203","1","70s"
"280","3203","3186","1","70s"
"281","3194","3195","1","60s"
"282","3195","3212","1","80s"
"283","3212","3195","1","80s"
"284","3195","3215","1","90s"
"285","3187","3211","2","90s"
"286","3211","3183","2","80s"
"287","3213","3186","1","80s"
"288","3186","3214","1","80s"
"289","3214","3270","1","80s"
"290","3186","3217","1","80s"
"291","3217","3186","1","80s"
"292","3186","3209","2","60s"
"293","3275","3183","1","90s"
"294","3183","3214","1","80s"
"295","3214","3183","1","80s"
"296","3183","3267","1","80s"
"297","3276","3185","1","80s"
"298","3197","3183","1","80s"
"299","3183","3187","1","80s"
"300","3187","3220","1","90s"
"301","3220","3201","1","80s"
"302","3195","3194","1","70s"
"303","3195","3207","1","90s"
"304","3207","3195","1","80s"
"305","3195","3201","1","60s"
"306","3201","3194","2","60s"
"307","3194","3195","1","60s"
"308","3195","3214","2","90s"
"309","3214","3187","2","80s"
"310","3199","3202","2","90s"
"311","3209","3192","1","80s"
"312","3192","3186","1","70s"
"313","3187","3183","1","90s"
"314","3183","3272","1","80s"
"315","3272","3275","1","60s"
"316","3275","3267","1","80s"
"317","3267","3195","1","80s"
"318","3195","3187","1","80s"
"319","3187","3202","1","70s"
"320","3202","3210","1","80s"
"321","3210","3199","1","80s"
"322","3199","3202","1","70s"
"323","3203","3202","1","70s"
"324","3202","3275","1","80s"
"325","3275","3275","1","80s"
"326","3275","3202","1","90s"
"327","3202","3199","1","80s"
"328","3199","3202","2","70s"
"329","3267","3183","1","70s"
"330","3183","3184","2","80s"
"331","3184","3220","1","60s"
"332","3220","3209","1","90s"
"333","3209","3186","1","80s"
"334","3186","3269","2","70s"
"335","3269","3272","1","90s"
"336","3272","3203","2","90s"
"337","3203","3186","1","80s"
"338","3203","3186","1","80s"
"339","3203","3183","1","80s"
"340","3214","3185","1","70s"
"341","3185","3192","2","80s"
"342","3192","3184","2","80s"
"343","3184","3186","1","70s"
"344","3186","3279","1","80s"
"345","3279","3186","1","80s"
"346","3267","3183","2","80s"
"347","3267","3183","1","70s"
"348","3183","3275","2","70s"
"349","3275","3191","1","70s"
"350","3279","3270","2","70s"
"351","3270","3270","1","60s"
"352","3211","3272","1","60s"
"353","3272","3209","1","90s"
"354","3209","3186","1","80s"
"355","3225","3191","2","80s"
"356","3191","3225","2","80s"
"357","3225","3275","1","80s"
"358","3275","3276","1","80s"
"359","3276","3185","1","90s"
"360","3185","3194","1","80s"
"361","3194","3195","1","70s"
"362","3215","3220","1","70s"
"363","3220","3210","1","60s"
"364","3210","3186","1","90s"
"365","3186","3203","2","70s"
"366","3273","3203","2","80s"
"367","3203","3275","2","80s"
"368","3275","3187","1","90s"
"369","3187","3275","1","90s"
"370","3275","3183","1","80s"
"371","3183","3214","2","80s"
"372","3214","3275","2","80s"
"373","3275","3214","2","80s"
"374","3214","3183","1","90s"
"375","3183","3275","1","80s"
"376","3275","3186","1","80s"
"377","3186","3205","2","70s"
"378","3205","3183","1","80s"
"379","3183","3187","1","70s"
"380","3187","3183","1","80s"
"381","3186","3213","1","80s"
"382","3213","3272","1","80s"
"383","3272","3213","1","80s"
"384","3213","3186","2","80s"
"385","3186","3213","1","80s"
"386","3214","3183","1","90s"
"387","3267","3183","1","70s"
"388","3183","3183","1","80s"
"389","3183","3267","2","70s"
"390","3214","3186","1","70s"
"391","3192","3211","1","80s"
"392","3267","3186","1","80s"
"393","3186","3199","1","60s"
"394","3183","3267","1","90s"
"395","3267","3183","1","80s"
"396","3270","3186","1","80s"
"397","3186","3213","1","80s"
"398","3213","3183","2","60s"
"399","3183","3192","1","60s"
"400","3192","3217","1","80s"
"401","3217","3183","1","90s"
"402","3183","3267","1","70s"
"403","3267","3199","2","60s"
"404","3199","3202","1","80s"
"405","3183","3268","2","70s"
"406","3268","3185","1","70s"
"407","3185","3276","1","70s"
"408","3276","3214","2","90s"
"409","3214","3183","2","80s"
"410","3203","3185","1","70s"
"411","3185","3268","2","70s"
"412","3268","3273","1","80s"
"413","3186","3209","1","90s"
"414","3209","3186","1","80s"
"415","3186","3225","1","80s"
"416","3225","3203","1","80s"
"417","3203","3211","1","70s"
"418","3211","3268","1","80s"
"419","3268","3205","1","80s"
"420","3205","3213","1","90s"
"421","3279","3186","1","70s"
"422","3186","3214","1","70s"
"423","3214","3184","1","80s"
"424","3184","3192","1","60s"
"425","3192","3211","2","80s"
"426","3211","3209","1","80s"
"427","3209","3275","1","70s"
"428","3275","3206","1","60s"
"429","3206","3207","1","70s"
"430","3207","3195","1","90s"
"431","3195","3225","2","90s"
"432","3225","3220","1","80s"
"433","3220","3203","2","80s"
"434","3203","3199","1","80s"
"435","3199","3187","1","80s"
"436","3187","3202","1","90s"
"437","3279","3186","1","80s"
"438","3199","3203","2","80s"
"439","3203","3184","1","70s"
"440","3267","3183","2","90s"
"441","3183","3183","1","90s"
"442","3199","3202","1","80s"
"443","3202","3184","1","70s"
"444","3184","3213","2","70s"
"445","3213","3194","1","90s"
"446","3278","3275","2","80s"
"447","3275","3272","2","80s"
"448","3272","3278","2","80s"
"449","3213","3186","2","80s"
"450","3186","3205","1","80s"
"451","3205","3186","2","80s"
"452","3186","3211","1","70s"
"453","3211","3270","1","70s"
"454","3270","3186","2","60s"
"455","3186","3211","1","70s"
"456","3211","3212","1","80s"
"457","3212","3195","1","80s"
"458","3195","3188","1","80s"
"459","3188","3183","1","70s"
"460","3183","3267","1","80s"
"461","3267","3183","1","80s"
"462","3183","3267","1","80s"
"463","3267","3183","1","60s"
"464","3183","3192","2","90s"
"465","3192","3214","1","60s"
"466","3214","3183","1","70s"
"467","3203","3186","1","80s"
"468","3186","3209","1","80s"
"469","3209","3186","2","80s"
"470","3203","3202","1","80s"
"471","3275","3213","1","80s"
"472","3202","3192","2","60s"
"473","3192","3186","1","70s"
"474","3202","3267","2","80s"
"475","3213","3186","1","70s"
"476","3186","3213","1","60s"
"477","3213","3186","1","70s"
"478","3194","3183","1","70s"
"479","3214","3185","1","80s"
"480","3185","3200","1","70s"
"481","3200","3186","1","70s"
"482","3194","3195","1","60s"
"483","3225","3186","1","80s"
"484","3186","3209","1","80s"
"485","3212","3203","1","70s"
"486","3203","3269","1","70s"
"487","3269","3273","1","80s"
"488","3273","3203","1","80s"
"489","3203","3202","1","80s"
"490","3184","3183","1","80s"
"491","3183","3187","1","70s"
"492","3211","3203","1","70s"
"493","3203","3186","1","60s"
"494","3276","3192","1","60s"
"495","3192","3186","1","80s"
"496","3186","3279","1","70s"
"497","3279","3202","1","70s"
"498","3267","3183","1","80s"
"499","3205","3186","1","80s"
"500","3186","3205","1","80s"
"501","3205","3186","1","80s"
"502","3199","3202","1","80s"
"503","3276","3184","1","80s"
"504","3184","3192","1","60s"
"505","3192","3184","1","60s"
"506","3184","3275","1","70s"
"507","3213","3186","1","80s"
"508","3275","3276","1","80s"
"509","3214","3183","1","70s"
"510","3183","3183","1","80s"
"511","3211","3186","1","80s"
"512","3205","3186","1","80s"
"513","3186","3214","1","80s"
"514","3214","3183","1","80s"
"515","3183","3214","2","60s"
"516","3184","3211","1","80s"
"517","3211","3209","1","70s"
"518","3209","3203","1","80s"
"519","3203","3202","1","70s"
"520","3202","3203","2","60s"
"521","3209","3185","1","80s"
"522","3185","3184","2","80s"
"523","3203","3202","1","80s"
"524","3202","3186","1","80s"
"525","3186","3214","2","80s"
"526","3214","3202","1","70s"
"527","3202","3203","1","70s"
"528","3203","3211","2","60s"
"529","3211","3209","1","80s"
"530","3209","3186","1","70s"
"531","3186","3214","1","70s"
"532","3214","3186","1","70s"
"533","3199","3203","2","80s"
"534","3203","3185","1","80s"
"535","3185","3192","1","80s"
"536","3211","3213","1","60s"
"537","3213","3183","1","90s"
"538","3183","3202","1","80s"
"539","3202","3203","1","70s"
"540","3209","3186","1","70s"
"541","3186","3203","1","70s"
"542","3203","3185","1","70s"
"543","3214","3183","2","80s"
"544","3183","3202","1","70s"
"545","3202","3199","2","80s"
"546","3199","3185","2","80s"
"547","3185","3213","2","80s"
"548","3211","3202","1","80s"
"549","3202","3214","1","80s"
"550","3214","3183","1","70s"
"551","3183","3214","2","80s"
"552","3214","3183","2","80s"
"553","3183","3213","2","70s"
"554","3213","3186","2","80s"
"555","3209","3186","1","70s"
"556","3186","3214","1","60s"
"557","3195","3207","1","70s"
"558","3207","3195","2","80s"
"559","3195","3194","1","70s"
"560","3194","3195","1","70s"
"561","3195","3189","1","80s"
"562","3194","3183","1","80s"
"563","3183","3225","1","80s"
"564","3213","3183","1","80s"
"565","3183","3202","1","80s"
"566","3202","3183","1","80s"
"567","3214","3267","1","80s"
"568","3267","3186","1","80s"
"569","3202","3203","1","80s"
"570","3203","3186","1","80s"
"571","3194","3195","1","80s"
"572","3215","3195","2","80s"
"573","3195","3194","1","80s"
"574","3194","3189","1","60s"
"575","3189","3195","1","60s"
"576","3195","3194","1","80s"
"577","3194","3195","1","70s"
"578","3195","3207","2","80s"
"579","3207","3269","1","70s"
"580","3269","3186","1","90s"
"581","3268","3185","1","60s"
"582","3215","3220","1","90s"
"583","3220","3207","1","80s"
"584","3207","3220","1","80s"
"585","3220","3275","1","70s"
"586","3275","3183","1","80s"
"587","3183","3214","2","80s"
"588","3203","3183","1","80s"
"589","3278","3186","2","80s"
"590","3186","3183","1","90s"
"591","3183","3187","2","80s"
"592","3187","3276","1","70s"
"593","3186","3209","2","60s"
"594","3209","3186","2","80s"
"595","3209","3186","1","80s"
"596","3186","3205","1","90s"
"597","3205","3186","1","80s"
"598","3270","3186","1","80s"
"599","3186","3213","1","80s"
"600","3213","3186","1","60s"
"601","3279","3186","1","80s"
"602","3186","3269","1","90s"
"603","3269","3186","2","70s"
"604","3209","3186","1","80s"
"605","3203","3186","2","80s"
"606","3186","3270","1","80s"
"607","3270","3211","1","80s"
"608","3211","3211","2","80s"
"609","3203","3269","1","70s"
"610","3269","3186","1","80s"
"611","3186","3209","1","80s"
"612","3209","3186","1","80s"
"613","3203","3186","1","70s"
"614","3186","3192","1","80s"
"615","3192","3187","1","70s"
"616","3199","3275","1","60s"
"617","3275","3275","1","80s"
"618","3267","3214","1","80s"
"619","3214","3187","1","80s"
"620","3187","3192","1","70s"
"621","3192","3183","1","70s"
"622","3183","3183","2","80s"
"623","3207","3195","1","80s"
"624","3195","3194","1","70s"
"625","3194","3193","1","60s"
"626","3214","3192","1","60s"
"627","3225","3183","1","80s"
"628","3183","3186","1","70s"
"629","3186","3213","1","70s"
"630","3213","3209","1","80s"
"631","3209","3202","2","80s"
"632","3202","3183","1","80s"
"633","3184","3199","2","80s"
"634","3199","3192","1","60s"
"635","3192","3268","2","70s"
"636","3195","3194","1","60s"
"637","3194","3195","1","80s"
"638","3195","3194","2","70s"
"639","3194","3195","1","70s"
"640","3195","3191","1","60s"
"641","3184","3183","1","70s"
"642","3183","3203","1","70s"
"643","3183","3199","1","60s"
"644","3199","3199","1","70s"
"645","3199","3203","1","80s"
"646","3203","3202","1","80s"
"647","3186","3267","1","80s"
"648","3186","3267","2","70s"
"649","3267","3183","1","80s"
"650","3183","3186","1","70s"
"651","3183","3214","1","70s"
"652","3214","3201","1","80s"
"653","3201","3186","1","60s"
"654","3186","3202","1","80s"
"655","3202","3210","1","80s"
"656","3195","3225","1","80s"
"657","3225","3209","2","90s"
"658","3209","3186","1","80s"
"659","3214","3211","2","60s"
"660","3211","3209","1","80s"
"661","3209","3183","2","80s"
"662","3203","3202","1","80s"
"663","3202","3183","1","90s"
"664","3183","3225","1","70s"
"665","3225","3183","2","70s"
"666","3183","3187","1","70s"
"667","3206","3206","2","70s"
"668","3206","3211","2","60s"
"669","3211","3193","1","70s"
"670","3193","3202","2","80s"
"671","3202","3183","1","80s"
"672","3209","3186","1","80s"
"673","3187","3202","1","80s"
"674","3202","3199","2","60s"
"675","3199","3184","2","70s"
"676","3184","3199","1","60s"
"677","3214","3186","1","70s"
"678","3209","3186","1","70s"
"679","3194","3195","1","60s"
"680","3195","3207","1","80s"
"681","3207","3195","1","80s"
"682","3195","3215","1","80s"
"683","3184","3210","1","70s"
"684","3210","3186","1","60s"
"685","3209","3186","1","80s"
"686","3203","3203","1","80s"
"687","3184","3186","1","70s"
"688","3186","3276","1","80s"
"689","3276","3186","1","80s"
"690","3184","3183","1","80s"
"691","3183","3214","1","70s"
"692","3214","3186","1","60s"
"693","3186","3209","1","80s"
"694","3209","3199","2","80s"
"695","3199","3202","1","90s"
"696","3207","3195","2","90s"
"697","3195","3193","1","80s"
"698","3211","3212","1","80s"
"699","3212","3195","1","60s"
"700","3195","3194","1","80s"
"701","3194","3193","1","90s"
"702","3195","3188","2","70s"
"703","3188","3195","2","70s"
"704","3201","3195","1","70s"
"705","3195","3212","1","80s"
"706","3212","3186","1","70s"
"707","3209","3186","2","60s"
"708","3186","3214","2","70s"
"709","3195","3193","2","80s"
"710","3186","3213","1","80s"
"711","3213","3213","1","70s"
"712","3213","3213","1","70s"
"713","3213","3186","1","60s"
"714","3213","3186","1","70s"
"715","3199","3202","1","80s"
"716","3202","3203","2","80s"
"717","3203","3186","1","80s"
"718","3203","3202","1","60s"
"719","3202","3187","1","80s"
"720","3187","3202","1","70s"
"721","3202","3184","1","80s"
"722","3184","3205","2","80s"
"723","3205","3184","2","80s"
"724","3183","3185","2","80s"
"725","3185","3214","2","80s"
"726","3214","3183","1","80s"
"727","3187","3183","2","80s"
"728","3183","3203","1","70s"
"729","3203","3185","1","70s"
"730","3185","3203","2","80s"
"731","3203","3186","2","80s"
"732","3186","3211","1","80s"
"733","3211","3213","1","80s"
"734","3213","3211","2","80s"
"735","3206","3195","1","80s"
"736","3183","3214","1","80s"
"737","3214","3186","1","60s"
"738","3186","3211","1","70s"
"739","3183","3210","2","90s"
"740","3210","3183","2","90s"
"741","3205","3211","1","60s"
"742","3211","3211","1","60s"
"743","3211","3207","2","70s"
"744","3195","3207","1","80s"
"745","3207","3186","2","70s"
"746","3186","3192","1","70s"
"747","3192","3185","1","70s"
"748","3184","3205","2","80s"
"749","3186","3203","2","70s"
"750","3195","3212","1","80s"
"751","3212","3220","1","90s"
"752","3220","3209","1","70s"
"753","3211","3225","1","70s"
"754","3225","3186","1","80s"
"755","3186","3199","1","60s"
"756","3212","3186","1","80s"
"757","3186","3203","1","60s"
"758","3202","3199","1","90s"
"759","3206","3202","1","60s"
"760","3213","3213","2","80s"
"761","3183","3214","2","80s"
"762","3186","3213","1","60s"
"763","3186","3203","1","80s"
"764","3203","3186","1","70s"
"765","3183","3211","1","60s"
"766","3211","3183","1","60s"
"767","3183","3205","1","70s"
"768","3202","3185","1","80s"
"769","3185","3214","1","80s"
"770","3186","3203","1","60s"
"771","3203","3186","1","60s"
"772","3203","3186","2","80s"
"773","3186","3205","1","80s"
"774","3186","3214","1","70s"
"775","3186","3213","1","80s"
"776","3203","3186","2","80s"
"777","3210","3195","1","60s"
"778","3195","3193","1","60s"
"779","3193","3183","1","70s"
"780","3183","3184","1","70s"
"781","3184","3184","1","80s"
"782","3184","3199","1","80s"
"783","3199","3184","1","80s"
"784","3184","3185","1","70s"
"785","3185","3211","1","90s"
"786","3183","3214","1","70s"
"787","3214","3205","1","70s"
"788","3205","3185","1","90s"
"789","3186","3190","1","80s"
"790","3190","3186","1","80s"
"791","3186","3214","1","70s"
"792","3214","3209","1","80s"
"793","3209","3186","1","80s"
"794","3186","3184","1","70s"
"795","3184","3199","1","80s"
"796","3199","3202","1","80s"
"797","3202","3198","1","80s"
"798","3198","3199","1","80s"
"799","3199","3187","1","70s"
"800","3187","3211","1","80s"
"801","3211","3186","1","80s"
"802","3205","3205","1","80s"
"803","3205","3186","1","80s"
"804","3186","3186","1","80s"
"805","3187","3214","1","80s"
"806","3214","3186","1","80s"
"807","3186","3213","1","80s"
"808","3213","3186","1","80s"
"809","3186","3183","1","70s"
"810","3183","3186","2","80s"
"811","3186","3203","2","70s"
"812","3183","3187","1","90s"
"813","3187","3213","1","80s"
"814","3213","3185","1","90s"
"815","3185","3213","1","90s"
"816","3213","3186","1","70s"
"817","3225","3213","2","70s"
"818","3213","3186","1","70s"
"819","3186","3203","2","80s"
"820","3203","3214","1","70s"
"821","3214","3185","2","70s"
"822","3185","3192","1","80s"
"823","3192","3186","1","70s"
"824","3192","3185","1","90s"
"825","3185","3211","1","70s"
"826","3211","3213","1","90s"
"827","3213","3185","1","80s"
"828","3185","3184","1","80s"
"829","3203","3213","2","60s"
"830","3213","3186","2","80s"
"831","3209","3186","1","80s"
"832","3203","3186","2","70s"
"833","3186","3211","1","70s"
"834","3211","3186","1","70s"
"835","3183","3187","1","80s"
"836","3186","3205","2","80s"
"837","3187","3202","2","80s"
"838","3202","3196","1","80s"
"839","3196","3202","2","80s"
"840","3202","3199","2","70s"
"841","3199","3202","1","80s"
"842","3202","3203","2","80s"
"843","3203","3203","2","80s"
"844","3203","3186","1","80s"
"845","3203","3183","1","80s"
"846","3211","3205","2","60s"
"847","3205","3186","1","80s"
"848","3211","3186","1","80s"
"849","3186","3209","2","60s"
"850","3209","3213","2","80s"
"851","3213","3186","1","80s"
"852","3186","3213","2","80s"
"853","3183","3198","1","90s"
"854","3209","3186","1","80s"
"855","3214","3211","1","80s"
"856","3209","3186","1","80s"
"857","3209","3186","1","80s"
"858","3203","3202","1","60s"
"859","3202","3199","1","80s"
"860","3199","3187","1","80s"
"861","3187","3199","1","80s"
"862","3199","3184","1","70s"
"863","3184","3205","1","80s"
"864","3205","3187","1","80s"
"865","3187","3213","1","80s"
"866","3213","3186","2","80s"
"867","3186","3213","1","80s"
"868","3213","3186","2","70s"
"869","3186","3209","1","70s"
"870","3209","3186","1","70s"
"871","3186","3209","1","80s"
"872","3195","3193","1","70s"
"873","3193","3195","1","70s"
"874","3195","3196","1","90s"
"875","3196","3186","1","80s"
"876","3194","3195","1","80s"
"877","3195","3207","1","70s"
"878","3207","3195","1","80s"
"879","3195","3207","1","80s"
"880","3207","3195","1","80s"
"881","3195","3193","1","70s"
"882","3193","3202","1","80s"
"883","3183","3214","1","80s"
"884","3214","3183","1","60s"
"885","3183","3184","1","80s"
"886","3184","3202","1","70s"
"887","3202","3199","1","70s"
"888","3198","3212","1","70s"
"889","3212","3195","1","90s"
"890","3195","3215","1","80s"
"891","3195","3193","1","90s"
"892","3203","3203","1","70s"
"893","3203","3213","1","80s"
"894","3213","3183","1","90s"
"895","3183","3187","1","90s"
"896","3187","3202","1","70s"
"897","3202","3183","1","70s"
"898","3194","3195","2","80s"
"899","3196","3186","1","80s"
"900","3194","3211","1","70s"
"901","3211","3203","2","80s"
"902","3203","3186","2","70s"
"903","3203","3186","1","80s"
"904","3207","3206","2","70s"
"905","3206","3212","1","80s"
"906","3212","3195","1","90s"
"907","3195","3194","2","90s"
"908","3194","3195","1","80s"
"909","3195","3194","1","80s"
"910","3194","3195","2","80s"
"911","3195","3201","1","70s"
"912","3201","3201","1","60s"
"913","3201","3201","1","80s"
"914","3201","3195","1","60s"
"915","3195","3195","2","70s"
"916","3183","3203","1","80s"
"917","3203","3186","1","60s"
"918","3205","3205","1","70s"
"919","3205","3213","1","80s"
"920","3213","3186","1","60s"
"921","3186","3205","1","80s"
"922","3205","3184","2","80s"
"923","3192","3186","1","70s"
"924","3209","3183","1","80s"
"925","3183","3184","1","80s"
"926","3183","3203","1","70s"
"927","3186","3202","1","80s"
"928","3202","3187","1","80s"
