;Station.ID;Station.Name;Station.Latitude;Station.Longitude;;;;;;;;
90;3314;W 95 St & Broadway;40.7937704;-73.971888;;;;;;;;
91;498;Broadway & W 32 St;40.74854862;-73.98808416;;;;;;;;
92;380;W 4 St & 7 Ave S;40.73401143;-74.00293877;;;;;;;;
93;3331;Riverside Dr & W 104 St;40.8013434;-73.97114574;;;;;;;;
94;386;Centre St & Worth St;40.71494807;-74.00234482;;;;;;;;
95;427;Bus Slip & State St;40.701907;-74.013942;;;;;;;;
96;347;Greenwich St & W Houston St;40.728846;-74.008591;;;;;;;;
97;359;E 47 St & Park Ave;40.75510267;-73.97498696;;;;;;;;
98;3085;Roebling St & N 4 St;40.71469;-73.95739;;;;;;;;
99;360;William St & Pine St;40.70717936;-74.00887308;;;;;;;;
100;328;Watts St & Greenwich St;40.72405549;-74.00965965;;;;;;;;
101;446;W 24 St & 7 Ave;40.74487634;-73.99529885;;;;;;;;
102;520;W 52 St & 5 Ave;40.75992262;-73.97648516;;;;;;;;
103;2004;6 Ave & Broome St;40.724399;-74.004704;;;;;;;;
104;393;E 5 St & Avenue C;40.72299208;-73.97995466;;;;;;;;
105;401;Allen St & Rivington St;40.72019576;-73.98997825;;;;;;;;
106;376;John St & William St;40.70862144;-74.00722156;;;;;;;;
107;224;Spruce St & Nassau St;40.71146364;-74.00552427;;;;;;;;
108;319;Fulton St & Broadway;40.711066;-74.009447;;;;;;;;
109;2021;W 45 St & 8 Ave;40.75929124;-73.98859651;;;;;;;;
110;152;Warren St & Church St;40.71473993;-74.00910627;;;;;;;;
111;297;E 15 St & 3 Ave;40.734232;-73.986923;;;;;;;;
112;267;Broadway & W 36 St;40.75097711;-73.98765428;;;;;;;;
113;3442;Indiana;0;0;;;;;;;;
114;479;9 Ave & W 45 St;40.76019252;-73.9912551;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;Input parameter;Current Inputs;In-pratice inputs
;;;;;;;;;;Start Station;Manual Dropdown;Automatically takes the value once the bike in un-latched from particular station
;;;;;;;;;;Birth year;Manual Textbox (Default value);"Either enter in the app (for new user)
Or automatically from user data of the app user "
;;;;;;;;;;Gender;Radio Button (Default Value);"Either enter in the app (for new user)
Or automatically from user data of the app user "
;;;;;;;;;;Start Time;System time of laptop;Automatically take time of un-latching the bike
